repeat,noise_fraction,protocol,eigen_index,eigenvalue,retained_90
1,0.15,CRN,6,0.612318290069885,4
1,0.15,CRN,7,0.5150704346814247,4
1,0.15,CRN,8,0.4193501399283392,4
1,0.15,CRN,9,0.3051932942388045,4
1,0.15,CRN,10,0.28419050384607075,4
1,0.15,independent,1,940.4375706392258,9
1,0.15,independent,2,933.4753206096291,9
1,0.15,independent,3,900.3188887497898,9
1,0.15,independent,4,621.9144440049125,9
1,0.15,independent,5,550.9284069121547,9
1,0.15,independent,6,525.8610579481788,9
1,0.15,independent,7,508.2804581432506,9
1,0.15,independent,8,454.27792171631114,9
1,0.15,independent,9,432.8672138345674,9
1,0.15,independent,10,399.92271798920495,9
2,0.0,deterministic,1,237.065050594485,4
2,0.0,deterministic,2,61.85511620448664,4
2,0.0,deterministic,3,51.48334811786604,4
2,0.0,deterministic,4,40.493132873227104,4
2,0.0,deterministic,5,0.7534487303229072,4
2,0.0,deterministic,6,0.48021609792168823,4
2,0.0,deterministic,7,0.38880545561805985,4
2,0.0,deterministic,8,0.36118194447450597,4
2,0.0,deterministic,9,0.3378262264620029,4
2,0.0,deterministic,10,0.2460539362804298,4
2,0.05,CRN,1,252.7085276867685,4
2,0.05,CRN,2,65.18985016281198,4
2,0.05,CRN,3,53.83275809623539,4
2,0.05,CRN,4,43.06855928012161,4
2,0.05,CRN,5,0.9985187249707891,4
2,0.05,CRN,6,0.6123182900698824,4
2,0.05,CRN,7,0.5150704346814243,4
2,0.05,CRN,8,0.41935013992833925,4
2,0.05,CRN,9,0.30519329423880287,4
2,0.05,CRN,10,0.28419050384607275,4
2,0.05,independent,1,309.69724345304564,8
2,0.05,independent,2,158.9508772172659,8
2,0.05,independent,3,126.79345871457888,8
2,0.05,independent,4,104.71098955705354,8
2,0.05,independent,5,100.10766970027584,8
2,0.05,independent,6,61.697056364443156,8
2,0.05,independent,7,56.71521682869877,8
2,0.05,independent,8,50.89001032132467,8
2,0.05,independent,9,48.43669186667147,8
2,0.05,independent,10,44.83175890297719,8
2,0.15,CRN,1,263.7919739465996,3
2,0.15,CRN,2,67.45473242437139,3
2,0.15,CRN,3,45.196459314321814,3
2,0.15,CRN,4,31.586419955820908,3
2,0.15,CRN,5,0.9532122670195174,3
2,0.15,CRN,6,0.5998997971280899,3
2,0.15,CRN,7,0.5382893014490229,3
2,0.15,CRN,8,0.4176626977183516,3
2,0.15,CRN,9,0.33095824333834073,3
2,0.15,CRN,10,0.32762224181443234,3
2,0.15,independent,1,860.1261124167627,9
2,0.15,independent,2,839.4810114519559,9
2,0.15,independent,3,658.5710347311087,9
2,0.15,independent,4,494.75208833337337,9
2,0.15,independent,5,472.9839503571268,9
2,0.15,independent,6,432.26559562667586,9
2,0.15,independent,7,375.93067440303463,9
2,0.15,independent,8,357.3371112143548,9
2,0.15,independent,9,350.52143372711254,9
2,0.15,independent,10,298.99423779266544,9
3,0.0,deterministic,1,249.99554262530728,3
3,0.0,deterministic,2,67.13627733901956,3
3,0.0,deterministic,3,44.43904637354688,3
3,0.0,deterministic,4,34.570915223742496,3
3,0.0,deterministic,5,0.8448535866538671,3
3,0.0,deterministic,6,0.5570452924483488,3
3,0.0,deterministic,7,0.45378841411390475,3
3,0.0,deterministic,8,0.39769208871731465,3
3,0.0,deterministic,9,0.37030481534237064,3
3,0.0,deterministic,10,0.28709651949719056,3
3,0.05,CRN,1,263.7919739465995,3
3,0.05,CRN,2,67.45473242437151,3
3,0.05,CRN,3,45.19645931432181,3
3,0.05,CRN,4,31.58641995582089,3
3,0.05,CRN,5,0.9532122670195222,3
3,0.05,CRN,6,0.5998997971280942,3
3,0.05,CRN,7,0.5382893014490219,3
3,0.05,CRN,8,0.41766269771835857,3
3,0.05,CRN,9,0.3309582433383415,3
3,0.05,CRN,10,0.3276222418144326,3
3,0.05,independent,1,328.625378080964,8
3,0.05,independent,2,116.57830189447279,8
3,0.05,independent,3,100.9020239620108,8
3,0.05,independent,4,94.19079506367746,8
3,0.05,independent,5,91.91611522738346,8
3,0.05,independent,6,53.08376874611512,8
3,0.05,independent,7,48.27803474075392,8
3,0.05,independent,8,44.76185155327723,8
3,0.05,independent,9,39.53173966148218,8
3,0.05,independent,10,33.84786435042768,8
3,0.15,CRN,1,243.64832497975573,3
3,0.15,CRN,2,60.79555397649871,3
3,0.15,CRN,3,47.794616308200304,3
3,0.15,CRN,4,27.780438485604343,3
3,0.15,CRN,5,0.7488926149991331,3
3,0.15,CRN,6,0.5635250131151008,3
3,0.15,CRN,7,0.5215668915582125,3
3,0.15,CRN,8,0.4628882992799028,3
3,0.15,CRN,9,0.38741944213071117,3
3,0.15,CRN,10,0.3134009623162117,3
3,0.15,independent,1,5204.090064281359,8
3,0.15,independent,2,2219.46784196586,8
3,0.15,independent,3,916.2400771464503,8
3,0.15,independent,4,864.4281646983919,8
3,0.15,independent,5,851.6456025193384,8
3,0.15,independent,6,802.7887549348362,8
3,0.15,independent,7,692.045581951716,8
3,0.15,independent,8,585.4598612069091,8
3,0.15,independent,9,456.9201156270924,8
3,0.15,independent,10,428.74496684438964,8
4,0.0,deterministic,1,266.771170618383,3
4,0.0,deterministic,2,71.07481826992695,3
4,0.0,deterministic,3,50.65644874555035,3
4,0.0,deterministic,4,32.33121843007957,3
4,0.0,deterministic,5,0.9953705419494377,3
4,0.0,deterministic,6,0.6036824966045521,3
4,0.0,deterministic,7,0.5245784762980473,3
4,0.0,deterministic,8,0.39086031457975806,3
4,0.0,deterministic,9,0.3429630500971576,3
4,0.0,deterministic,10,0.28394385359289254,3
4,0.05,CRN,1,243.64832497975573,3
4,0.05,CRN,2,60.79555397649869,3
4,0.05,CRN,3,47.79461630820038,3
4,0.05,CRN,4,27.780438485604353,3
4,0.05,CRN,5,0.748892614999134,3
4,0.05,CRN,6,0.5635250131151026,3
4,0.05,CRN,7,0.5215668915582115,3
4,0.05,CRN,8,0.4628882992798996,3
4,0.05,CRN,9,0.387419442130713,3
4,0.05,CRN,10,0.31340096231621056,3
4,0.05,independent,1,578.497171959619,8
4,0.05,independent,2,399.4115705123015,8
4,0.05,independent,3,191.55368458597124,8
4,0.05,independent,4,150.81266772048085,8
4,0.05,independent,5,117.59455641644392,8
4,0.05,independent,6,102.02479261908381,8
4,0.05,independent,7,95.17229987329702,8
4,0.05,independent,8,85.72815943777042,8
4,0.05,independent,9,51.23613811287101,8
4,0.05,independent,10,47.92961492771837,8
4,0.15,CRN,1,235.23805396616953,4
4,0.15,CRN,2,68.82393779710858,4
4,0.15,CRN,3,44.2722174088199,4
4,0.15,CRN,4,37.06145448084701,4
4,0.15,CRN,5,0.9243195280525289,4
4,0.15,CRN,6,0.48643968647423363,4
4,0.15,CRN,7,0.43048431559472544,4
4,0.15,CRN,8,0.3916040159457842,4
4,0.15,CRN,9,0.32583524048577406,4
4,0.15,CRN,10,0.3137299385623911,4
4,0.15,independent,1,884.4757242294536,9
4,0.15,independent,2,812.9180555642583,9
4,0.15,independent,3,588.5678297537967,9
4,0.15,independent,4,435.33466520839045,9
4,0.15,independent,5,420.4000340742092,9
4,0.15,independent,6,379.30220869312296,9
4,0.15,independent,7,348.67145266779244,9
4,0.15,independent,8,331.489164164761,9
4,0.15,independent,9,306.85673722570584,9
4,0.15,independent,10,286.7438248857795,9
5,0.0,deterministic,1,254.01080620519446,3
5,0.0,deterministic,2,65.878429143455,3
5,0.0,deterministic,3,51.52163290974085,3
5,0.0,deterministic,4,28.52262234431792,3
5,0.0,deterministic,5,0.7315396780947105,3
5,0.0,deterministic,6,0.5641137442105931,3
5,0.0,deterministic,7,0.5464401139813588,3
5,0.0,deterministic,8,0.4174837248491782,3
5,0.0,deterministic,9,0.38538024393859155,3
5,0.0,deterministic,10,0.34399081755577576,3
5,0.05,CRN,1,235.23805396616953,4
5,0.05,CRN,2,68.82393779710867,4
5,0.05,CRN,3,44.2722174088199,4
5,0.05,CRN,4,37.06145448084704,4
5,0.05,CRN,5,0.9243195280525528,4
5,0.05,CRN,6,0.48643968647424135,4
5,0.05,CRN,7,0.430484315594728,4
5,0.05,CRN,8,0.39160401594578503,4
5,0.05,CRN,9,0.3258352404857761,4
5,0.05,CRN,10,0.31372993856239795,4
5,0.05,independent,1,301.10738665195936,8
5,0.05,independent,2,107.21074767960981,8
5,0.05,independent,3,98.4926531579067,8
5,0.05,independent,4,97.5829031500142,8
5,0.05,independent,5,79.34656573280095,8
5,0.05,independent,6,50.9559398938,8
5,0.05,independent,7,42.81742639945871,8
5,0.05,independent,8,39.57800722186668,8
5,0.05,independent,9,37.16869605046403,8
5,0.05,independent,10,32.1182685037344,8
5,0.15,CRN,1,247.79219790741584,4
5,0.15,CRN,2,66.83478646721048,4
5,0.15,CRN,3,50.18443461607492,4
5,0.15,CRN,4,44.969152203780176,4
5,0.15,CRN,5,0.8422331639743088,4
5,0.15,CRN,6,0.586745000026113,4
5,0.15,CRN,7,0.4511028711331532,4
5,0.15,CRN,8,0.371557539839732,4
5,0.15,CRN,9,0.3517872969800164,4
5,0.15,CRN,10,0.2523117507924907,4
5,0.15,independent,1,1477.3494429491282,8
5,0.15,independent,2,1182.311833207808,8
5,0.15,independent,3,1145.9979886024287,8
5,0.15,independent,4,1086.9004256092949,8
5,0.15,independent,5,996.1649966265951,8
5,0.15,independent,6,624.1146678172989,8
5,0.15,independent,7,601.4502731252408,8
5,0.15,independent,8,503.26016582506696,8
5,0.15,independent,9,471.8058704849628,8
