noise_fraction,protocol,method,feature,feature_index,score_mean,score_sd
0.15,CRN,Sobol,x10,9,0.0010412158551133402,0.0001237834370057833
0.15,CRN,Sobol,x2,1,0.25281893131685734,0.01586732161873138
0.15,CRN,Sobol,x3,2,0.08657205434363581,0.0023575866459090824
0.15,CRN,Sobol,x4,3,0.3255787145392623,0.009365682318756353
0.15,CRN,Sobol,x5,4,0.07985962449436025,0.00501361081931051
0.15,CRN,Sobol,x6,5,0.001194751185946591,9.639607935128577e-05
0.15,CRN,Sobol,x7,6,0.0011764502230728678,0.0001366793450710288
0.15,CRN,Sobol,x8,7,0.000986645701586581,0.00010409595769683698
0.15,CRN,Sobol,x9,8,0.0010749296466430703,0.0001607791328849344
0.15,independent,DGSM,x1,0,0.10955917011130677,0.006790054071052511
0.15,independent,DGSM,x10,9,0.08954158832321757,0.006312613709546374
0.15,independent,DGSM,x2,1,0.1127630422940314,0.00894244474565481
0.15,independent,DGSM,x3,2,0.1060861895516903,0.006470495581044977
0.15,independent,DGSM,x4,3,0.1048310519231498,0.00808441130029207
0.15,independent,DGSM,x5,4,0.09915734673919448,0.007932329295798929
0.15,independent,DGSM,x6,5,0.09289375398399236,0.006513403316120679
0.15,independent,DGSM,x7,6,0.09105487906123683,0.007150165375208993
0.15,independent,DGSM,x8,7,0.0986596150907782,0.007265089001737141
0.15,independent,DGSM,x9,8,0.09545336292140229,0.0083277606248495
0.15,independent,GAS,x1,0,0.10493758639721817,0.047126453236867795
0.15,independent,GAS,x10,9,0.15354371792435542,0.15687509115500886
0.15,independent,GAS,x2,1,0.10509666302517161,0.05079033825268492
0.15,independent,GAS,x3,2,0.12906688164445332,0.15226820601707716
0.15,independent,GAS,x4,3,0.11223734646886323,0.05779991290365114
0.15,independent,GAS,x5,4,0.07348657675493703,0.059443432662958186
0.15,independent,GAS,x6,5,0.09705407979627344,0.08293963561063811
0.15,independent,GAS,x7,6,0.06838913912456024,0.06326181651269373
0.15,independent,GAS,x8,7,0.07134034737090787,0.052243588771118794
0.15,independent,GAS,x9,8,0.08484766149325972,0.07200053144810536
0.15,independent,Sobol,x1,0,0.22269260163922033,0.00885006610328459
0.15,independent,Sobol,x10,9,0.018542676938185558,0.0011267622635681902
0.15,independent,Sobol,x2,1,0.22055843000845884,0.01068896181558792
0.15,independent,Sobol,x3,2,0.08868428300352292,0.0038346768576802176
0.15,independent,Sobol,x4,3,0.2902987986523768,0.015610435985442197
0.15,independent,Sobol,x5,4,0.08462372554128485,0.006194644189561081
0.15,independent,Sobol,x6,5,0.019132588497130332,0.0021523859273986003
0.15,independent,Sobol,x7,6,0.018445359561918697,0.0008693070053592112
0.15,independent,Sobol,x8,7,0.01852244148905872,0.001642266232811352
0.15,independent,Sobol,x9,8,0.01849909466884297,0.001431329797763112
